,geocode
19374,"Salzkotten, Kreis Paderborn, Nordrhein-Westfalen, 33154, Deutschland"
19375,"Steinheim, Kreis Höxter, Nordrhein-Westfalen, 32839, Deutschland"
19377,"Warburg-Scherfede, Walme, Walme, Scherfede, Warburg, Kreis Höxter, Nordrhein-Westfalen, 34414, Deutschland"
19378,"Werther, Kreis Gütersloh, Nordrhein-Westfalen, 33824, Deutschland"
19381,"Eckental, Landkreis Erlangen-Höchstadt, Bayern, 90542, Deutschland"
19382,
19387,"Weil der Stadt, Landkreis Böblingen, Baden-Württemberg, 71263, Deutschland"
19388,"Borgentreich, Kreis Höxter, Nordrhein-Westfalen, 34434, Deutschland"
19396,"Bad Camberg, Landkreis Limburg-Weilburg, Hessen, 65520, Deutschland"
19398,"Drensteinfurt, Kreis Warendorf, Nordrhein-Westfalen, 48317, Deutschland"
19400,"Obertshausen, Brühlstraße, Hausen, Obertshausen, Landkreis Offenbach, Hessen, 63179, Deutschland"
19401,"Babenhausen, Landkreis Darmstadt-Dieburg, Hessen, 64832, Deutschland"
19403,"Telgte, Kreis Warendorf, Nordrhein-Westfalen, 48291, Deutschland"
19404,"Reinheim, Landkreis Darmstadt-Dieburg, Hessen, 64354, Deutschland"
19417,"Mettlach, Landkreis Merzig-Wadern, Saarland, 66693, Deutschland"
19427,"Heidenheim an der Brenz, Verwaltungsgemeinschaft Heidenheim an der Brenz, Landkreis Heidenheim, Baden-Württemberg, Deutschland"
19429,"Kreuzwertheim, Verwaltungsgemeinschaft Kreuzwertheim, Landkreis Main-Spessart, Bayern, 97892, Deutschland"
19432,"Wriezen, Märkisch-Oderland, Brandenburg, 16269, Deutschland"
19434,"Bad Boll, Gemeindeverwaltungsverband Raum Bad Boll, Landkreis Göppingen, Baden-Württemberg, 73087, Deutschland"
19438,"Delligsen, Landkreis Holzminden, Niedersachsen, 31074, Deutschland"
19441,"Riedlingen, Gemeindeverwaltungsverband Riedlingen, Landkreis Biberach, Baden-Württemberg, 88499, Deutschland"
19444,"Sasbach, Verwaltungsgemeinschaft Achern, Ortenaukreis, Baden-Württemberg, 77880, Deutschland"
19446,"Großenkneten, Landkreis Oldenburg, Niedersachsen, 26197, Deutschland"
19448,
19453,"Altshausen, Verwaltungsverband Altshausen, Landkreis Ravensburg, Baden-Württemberg, 88361, Deutschland"
19454,"Ebersbach-Musbach, Verwaltungsverband Altshausen, Landkreis Ravensburg, Baden-Württemberg, 88371, Deutschland"
19455,
19457,"Nierstein, Rhein-Selz, Landkreis Mainz-Bingen, Rheinland-Pfalz, 55283, Deutschland"
19458,"Salzhemmendorf, Landkreis Hameln-Pyrmont, Niedersachsen, 31020, Deutschland"
19460,
19461,"Ammerbuch, Landkreis Tübingen, Baden-Württemberg, 72119, Deutschland"
19462,"Tübingen, Landkreis Tübingen, Baden-Württemberg, Deutschland"
19463,"Aldekerk, Kerken, Kreis Kleve, Nordrhein-Westfalen, 47647, Deutschland"
19465,
19468,"Stockstadt am Main, Landkreis Aschaffenburg, Bayern, 63811, Deutschland"
19469,"Ascheberg, Plön, Schleswig-Holstein, 24326, Deutschland"
19474,
19481,"Bad Saulgau, Verwaltungsgemeinschaft Bad Saulgau, Landkreis Sigmaringen, Baden-Württemberg, 88348, Deutschland"
19486,"Bakum, Landkreis Vechta, Niedersachsen, 49456, Deutschland"
19489,"Billerbeck, Kreis Coesfeld, Nordrhein-Westfalen, 48727, Deutschland"
19492,"Bechtheim, Wonnegau, Landkreis Alzey-Worms, Rheinland-Pfalz, 67595, Deutschland"
19495,"Beilstein, Cochem, Landkreis Cochem-Zell, Rheinland-Pfalz, Deutschland"
19496,"Ilsfeld, Verwaltungsverband Schozach-Bottwartal, Landkreis Heilbronn, Baden-Württemberg, 74360, Deutschland"
19501,"Altenhundem, Lennestadt, Kreis Olpe, Nordrhein-Westfalen, 57368, Deutschland"
19504,"Badem, Bitburger Land, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, 54657, Deutschland"
19505,"Blaubeuren, Gemeindeverwaltungsverband Blaubeuren, Alb-Donau-Kreis, Baden-Württemberg, 89143, Deutschland"
19506,"Dahlenburg, Samtgemeinde Dahlenburg, Lüneburg, Niedersachsen, 21368, Deutschland"
19508,"Isselburg, Kreis Borken, Nordrhein-Westfalen, 46419, Deutschland"
19513,
19515,
19516,
19517,
19520,"Ganderkesee, Landkreis Oldenburg, Niedersachsen, Deutschland"
19521,"Wendeburg, Landkreis Peine, Niedersachsen, 38176, Deutschland"
19522,"Boxberg, Kelberg, Landkreis Vulkaneifel, Rheinland-Pfalz, Deutschland"
19523,"Brackenheim, Verwaltungsgemeinschaft Brackenheim, Landkreis Heilbronn, Baden-Württemberg, 74336, Deutschland"
19524,
19525,"Zaberfeld, Verwaltungsverband Oberes Zabergäu, Landkreis Heilbronn, Baden-Württemberg, 74374, Deutschland"
19527,"Brandoberndorf, Waldsolms, Lahn-Dill-Kreis, Hessen, 35647, Deutschland"
19528,"Braunlage, Landkreis Goslar, Niedersachsen, Deutschland"
19531,"Breisach (Kernstadt), Breisach am Rhein, VVG der Stadt Breisach am Rhein, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79206, Deutschland"
19532,"Heitersheim, VVG der Stadt Heitersheim, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79423, Deutschland"
19533,"Ihringen, VVG der Stadt Breisach am Rhein, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79241, Deutschland"
19535,"Ritterhude, Landkreis Osterholz, Niedersachsen, 27721, Deutschland"
19538,"Niederstotzingen, GVV Sontheim-Niederstotzingen, Landkreis Heidenheim, Baden-Württemberg, 89168, Deutschland"
19544,
19545,"Oberhausen-Rheinhausen, Verwaltungsverband Philippsburg, Landkreis Karlsruhe, Baden-Württemberg, 68794, Deutschland"
19548,
19553,"Clenze, Samtgemeinde Lüchow (Wendland), Lüchow-Dannenberg, Niedersachsen, 29459, Deutschland"
19555,"Daaden, Daaden-Herdorf, Landkreis Altenkirchen, Rheinland-Pfalz, 57567, Deutschland"
19557,"Holdorf, Landkreis Vechta, Niedersachsen, 49451, Deutschland"
19559,"Dassel, Landkreis Northeim, Niedersachsen, 37586, Deutschland"
19561,"Deißlingen, Verwaltungsgemeinschaft Rottweil, Landkreis Rottweil, Baden-Württemberg, 78652, Deutschland"
19562,"Volksbank Deißlingen eG, Hirschstraße, Lauffen ob Rottweil, Deißlingen, Verwaltungsgemeinschaft Rottweil, Landkreis Rottweil, Baden-Württemberg, 78652, Deutschland"
19564,
19567,"Jarmen, Jarmen-Tutow, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17126, Deutschland"
19570,"Dettenhausen, Landkreis Tübingen, Baden-Württemberg, 72135, Deutschland"
19571,"Barnstorf, Samtgemeinde Barnstorf, Landkreis Diepholz, Niedersachsen, Deutschland"
19575,"Ewersbach, Dietzhölztal, Lahn-Dill-Kreis, Hessen, 35716, Deutschland"
19576,"Nalbach, Landkreis Saarlouis, Saarland, 66809, Deutschland"
19580,"Dornstetten, Verwaltungsverband Dornstetten, Landkreis Freudenstadt, Baden-Württemberg, 72280, Deutschland"
19581,"Wulfen, Osternienburger Land, Anhalt-Bitterfeld, Sachsen-Anhalt, 06386, Deutschland"
19583,"Lütgendortmund, Dortmund, Nordrhein-Westfalen, 44388, Deutschland"
19597,"Assamstadt, Verwaltungsgemeinschaft Bad Mergentheim, Main-Tauber-Kreis, Baden-Württemberg, 97959, Deutschland"
19600,"Bruchhausen-Vilsen, Samtgemeinde Bruchhausen-Vilsen, Landkreis Diepholz, Niedersachsen, 27305, Deutschland"
19605,"Fredenbeck, Samtgemeinde Fredenbeck, Stade, Niedersachsen, 21717, Deutschland"
19607,"Krumbach (Schwaben), Landkreis Günzburg, Bayern, 86381, Deutschland"
19608,"Markdorf, Verwaltungsverband Markdorf, Bodenseekreis, Baden-Württemberg, 88677, Deutschland"
19609,
19610,"Nidda, Wetteraukreis, Hessen, 63667, Deutschland"
19611,"Oldendorf, Itzehoe-Land, Steinburg, Schleswig-Holstein, 25588, Deutschland"
19612,"Ottersberg, Landkreis Verden, Niedersachsen, 28870, Deutschland"
19613,"Pattensen, Region Hannover, Niedersachsen, 30982, Deutschland"
19617,"Sottrum, Samtgemeinde Sottrum, Landkreis Rotenburg (Wümme), Niedersachsen, Deutschland"
19620,"Steyerberg, Landkreis Nienburg/Weser, Niedersachsen, 31595, Deutschland"
19622,"Stolzenau, Samtgemeinde Mittelweser, Landkreis Nienburg/Weser, Niedersachsen, 31592, Deutschland"
19623,"Sulingen, Landkreis Diepholz, Niedersachsen, 27232, Deutschland"
19625,"Ulrichstein, Vogelsbergkreis, Hessen, 35327, Deutschland"
19627,"Vollersode, Samtgemeinde Hambergen, Landkreis Osterholz, Niedersachsen, Deutschland"
19631,"Adelebsen, Landkreis Göttingen, Niedersachsen, 37139, Deutschland"
19632,"Ahlerstedt, Samtgemeinde Harsefeld, Stade, Niedersachsen, 21702, Deutschland"
19633,"Hilter, Landkreis Osnabrück, Niedersachsen, 49176, Deutschland"
19636,"Beverstedt, Landkreis Cuxhaven, Niedersachsen, 27616, Deutschland"
19641,"Eppertshausen, Landkreis Darmstadt-Dieburg, Hessen, 64859, Deutschland"
19644,"Reichelsheim (Odenwald), Odenwaldkreis, Hessen, 64385, Deutschland"
19647,"Lindern (Oldenburg), Landkreis Cloppenburg, Niedersachsen, 49699, Deutschland"
19654,"Gnarrenburg, Landkreis Rotenburg (Wümme), Niedersachsen, 27442, Deutschland"
19658,"Rhauderfehn, Landkreis Leer, Niedersachsen, 26817, Deutschland"
19662,"Egelsbach, Landkreis Offenbach, Hessen, 63329, Deutschland"
19664,"Gerolstein, Landkreis Vulkaneifel, Rheinland-Pfalz, Deutschland"
19665,
19670,"Annaburg, Wittenberg, Sachsen-Anhalt, 06925, Deutschland"
19672,"Jessen (Elster), Wittenberg, Sachsen-Anhalt, Deutschland"
19674,"Lathen, Samtgemeinde Lathen, Landkreis Emsland, Niedersachsen, Deutschland"
19675,"Emstek, Landkreis Cloppenburg, Niedersachsen, 49685, Deutschland"
19676,"Enger, Kreis Herford, Nordrhein-Westfalen, 32130, Deutschland"
19677,"Enniger, Ennigerloh, Kreis Warendorf, Nordrhein-Westfalen, Deutschland"
19679,"Elsdorf, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50189, Deutschland"
19681,"Kiebitzmarkt-Raesfeld-Erle-Landhandel-Cluse, Schermbecker Straße, Erle, Raesfeld, Kreis Borken, Nordrhein-Westfalen, 46348, Deutschland"
19684,"Esens, Samtgemeinde Esens, Landkreis Wittmund, Niedersachsen, 26427, Deutschland"
19685,"Cappeln (Oldenburg), Landkreis Cloppenburg, Niedersachsen, 49692, Deutschland"
19690,"Esterwegen, Samtgemeinde Nordhümmling, Landkreis Emsland, Niedersachsen, 26897, Deutschland"
19694,"Mechernich, Kreis Euskirchen, Nordrhein-Westfalen, 53894, Deutschland"
19696,"Feldatal, Vogelsbergkreis, Hessen, 36325, Deutschland"
19697,"Schwalmtal, Kreis Viersen, Nordrhein-Westfalen, 41366, Deutschland"
19698,"Neuhausen auf den Fildern, Landkreis Esslingen, Baden-Württemberg, 73765, Deutschland"
19699,"Flein, Verwaltungsverband Flein-Talheim, Landkreis Heilbronn, Baden-Württemberg, 74223, Deutschland"
19700,"Bieberbach, Egloffstein, Landkreis Forchheim, Bayern, 91349, Deutschland"
19702,"Pretzfeld, Landkreis Forchheim, Bayern, 91362, Deutschland"
19703,"Buchen (Odenwald), Neckar-Odenwald-Kreis, Baden-Württemberg, 74722, Deutschland"
19704,
19705,"Freiberg am Neckar, Vereinbarte Verwaltungsgemeinschaft der Stadt Freiberg am Neckar, Landkreis Ludwigsburg, Baden-Württemberg, 71691, Deutschland"
19707,"Eglosheim, Ludwigsburg, Landkreis Ludwigsburg, Baden-Württemberg, 71634, Deutschland"
19709,"Kirchzarten (Kernort), Kirchzarten, GVV Dreisamtal, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79199, Deutschland"
19710,"Eriskirch, Verwaltungsverband Eriskirch-Kressbronn am Bodensee-Langenargen, Bodenseekreis, Baden-Württemberg, 88097, Deutschland"
19712,"Langenargen, Verwaltungsverband Eriskirch-Kressbronn am Bodensee-Langenargen, Bodenseekreis, Baden-Württemberg, 88085, Deutschland"
19714,"Hude, Nordsee-Treene, Nordfriesland, Schleswig-Holstein, Deutschland"
19715,"Elkenroth, Betzdorf-Gebhardshain, Landkreis Altenkirchen, Rheinland-Pfalz, 57578, Deutschland"
19716,"Gebhardshain, Betzdorf-Gebhardshain, Landkreis Altenkirchen, Rheinland-Pfalz, 57580, Deutschland"
19717,"Apensen, Samtgemeinde Apensen, Stade, Niedersachsen, 21641, Deutschland"
19718,"Harsefeld, Samtgemeinde Harsefeld, Stade, Niedersachsen, 21698, Deutschland"
19719,"Schiffdorf, Landkreis Cuxhaven, Niedersachsen, 27619, Deutschland"
19720,"Fisherman's Partner Schiffdorf-Spaden, 11, Zur Hohen Lieth, Spaden, Schiffdorf, Landkreis Cuxhaven, Niedersachsen, 27619, Deutschland"
19721,"Borken-Hoxfeld Flugplatz, 19, Zum Flugplatz, Gemen-Kirchspiel, Borken, Kreis Borken, Nordrhein-Westfalen, 46325, Deutschland"
19722,"Kall, Kreis Euskirchen, Nordrhein-Westfalen, 53925, Deutschland"
19723,"Gescher, Kreis Borken, Nordrhein-Westfalen, 48712, Deutschland"
19725,
19726,"Bissendorf, Landkreis Osnabrück, Niedersachsen, 49143, Deutschland"
19730,
19733,
19734,"Volksbank Grebenhain-Crainfeld, 14, An der Cent, Crainfeld, Grebenhain, Vogelsbergkreis, Hessen, 36355, Deutschland"
19736,"Nordwalde, Kreis Steinfurt, Nordrhein-Westfalen, 48356, Deutschland"
19742,"Gronau, Kreis Borken, Nordrhein-Westfalen, 48599, Deutschland"
19746,"Waldfeucht, Kreis Heinsberg, Nordrhein-Westfalen, Deutschland"
19747,
19750,"Borgholzhausen, Kreis Gütersloh, Nordrhein-Westfalen, 33829, Deutschland"
19751,"Nauendorf, Kranichfeld, Landkreis Weimarer Land, Thüringen, Deutschland"
19753,"Flaesheim, Haltern am See, Kreis Recklinghausen, Nordrhein-Westfalen, Deutschland"
19760,"Hamm (Sieg), Landkreis Altenkirchen, Rheinland-Pfalz, 57539, Deutschland"
19761,"Hankensbuettel Tourist Info, 19, Bahnhofstraße, Steinhorst, Samtgemeinde Hankensbüttel, Gifhorn, Niedersachsen, 29367, Deutschland"
19762,"Haren (Ems), Landkreis Emsland, Niedersachsen, 49733, Deutschland"
19763,
19764,"Herzlake, Samtgemeinde Herzlake, Landkreis Emsland, Niedersachsen, 49770, Deutschland"
19766,"Heiden, Kreis Borken, Nordrhein-Westfalen, 46359, Deutschland"
19770,"Heimbach, Baumholder, Landkreis Birkenfeld, Rheinland-Pfalz, Deutschland"
19772,"Nidderau, Main-Kinzig-Kreis, Hessen, 61130, Deutschland"
19776,"Velpke, Samtgemeinde Velpke, Landkreis Helmstedt, Niedersachsen, 38458, Deutschland"
19778,"Hermeskeil, Landkreis Trier-Saarburg, Rheinland-Pfalz, 54411, Deutschland"
19781,"Nusplingen, Gemeindeverwaltungsverband Meßstetten, Zollernalbkreis, Baden-Württemberg, 72362, Deutschland"
19782,"Meßstetten, Gemeindeverwaltungsverband Meßstetten, Zollernalbkreis, Baden-Württemberg, 72469, Deutschland"
19784,"Biebertal, Landkreis Gießen, Hessen, 35444, Deutschland"
19785,"Heuchelheim, Landkreis Gießen, Hessen, 35452, Deutschland"
19786,"Harsum, Landkreis Hildesheim, Niedersachsen, 31177, Deutschland"
19789,"Diekholzen, Landkreis Hildesheim, Niedersachsen, 31199, Deutschland"
19790,
19791,"Albbruck, Landkreis Waldshut, Baden-Württemberg, 79774, Deutschland"
19798,
19799,
19804,"Großbettlingen, Vereinbarte Verwaltungsgemeinschaft der Stadt Nürtingen, Landkreis Esslingen, Baden-Württemberg, 72663, Deutschland"
19805,"Bisingen, Gemeindeverwaltungsverband Bisingen, Zollernalbkreis, Baden-Württemberg, 72406, Deutschland"
19808,"Birkenfeld, Landkreis Birkenfeld, Rheinland-Pfalz, Deutschland"
19826,"Herzebrock, Herzebrock-Clarholz, Kreis Gütersloh, Nordrhein-Westfalen, 33442, Deutschland"
19828,
19833,"Senden, Landkreis Neu-Ulm, Bayern, 89250, Deutschland"
19836,"Sande, Landkreis Friesland, Niedersachsen, 26452, Deutschland"
19837,"Schortens, Landkreis Friesland, Niedersachsen, 26419, Deutschland"
19843,"Karlsruhe-Durlach, K 9659, Alt-Durlach, Durlach, Karlsruhe, Baden-Württemberg, 76227, Deutschland"
19844,"Kaunitz, Verl, Kreis Gütersloh, Nordrhein-Westfalen, Deutschland"
19846,"Drochtersen, Stade, Niedersachsen, 21706, Deutschland"
19847,"Kelsterbach, Kreis Groß-Gerau, Hessen, 65451, Deutschland"
19851,"Rönsahl, Kierspe, Märkischer Kreis, Nordrhein-Westfalen, 51709, Deutschland"
19852,"Hausach, Verwaltungsgemeinschaft Hausach, Ortenaukreis, Baden-Württemberg, 77756, Deutschland"
19854,"Kirchheim unter Teck, Vereinbarte Verwaltungsgemeinschaft der Stadt Kirchheim unter Teck, Landkreis Esslingen, Baden-Württemberg, 73230, Deutschland"
19855,"Osterburken, Verwaltungsverband Osterburken, Neckar-Odenwald-Kreis, Baden-Württemberg, 74706, Deutschland"
19857,"Rosenberg, Verwaltungsgemeinschaft Ellwangen (Jagst), Ostalbkreis, Baden-Württemberg, 73494, Deutschland"
19858,"Klettgau, Landkreis Waldshut, Baden-Württemberg, 79771, Deutschland"
19859,
19861,"Bassenheim, Weißenthurm, Landkreis Mayen-Koblenz, Rheinland-Pfalz, Deutschland"
19863,"Familienflohmarkt - Koeln, 22, Lachemer Weg, Gartenstadt-Nord, Longerich, Nippes, Köln, Nordrhein-Westfalen, 50737, Deutschland"
19866,"Sinsheim, Verwaltungsgemeinschaft Sinsheim, Rhein-Neckar-Kreis, Baden-Württemberg, 74889, Deutschland"
19869,"Krautheim, Verwaltungsverband Krautheim, Hohenlohekreis, Baden-Württemberg, 74238, Deutschland"
19872,"Kreßbronn, Stimpfach, Verwaltungsverband Crailsheim, Landkreis Schwäbisch Hall, Baden-Württemberg, 74597, Deutschland"
19878,"Laer, Kreis Steinfurt, Nordrhein-Westfalen, 48366, Deutschland"
19881,"Laichingen, Gemeindeverwaltungsverband Laichinger Alb, Alb-Donau-Kreis, Baden-Württemberg, 89150, Deutschland"
19882,"Dornburg, Landkreis Limburg-Weilburg, Hessen, 65599, Deutschland"
19883,"Gersten, Samtgemeinde Lengerich, Landkreis Emsland, Niedersachsen, 49838, Deutschland"
19885,"Lastrup, Landkreis Cloppenburg, Niedersachsen, 49688, Deutschland"
19887,"Burgrieden, Gemeindeverwaltungsverband Laupheim, Landkreis Biberach, Baden-Württemberg, 88483, Deutschland"
19889,"Schlitz, Hainbuche, Schlitz, Vogelsbergkreis, Hessen, 36110, Deutschland"
19891,"Lauterecken, Lauterecken-Wolfstein, Landkreis Kusel, Rheinland-Pfalz, 67742, Deutschland"
19892,"Odenbach, Lauterecken-Wolfstein, Landkreis Kusel, Rheinland-Pfalz, 67748, Deutschland"
19893,"Otterbach, Otterbach-Otterberg, Landkreis Kaiserslautern, Rheinland-Pfalz, 67731, Deutschland"
19895,"Lagerplatz der Stadt Dorsten, Rhade, Dorsten, Kreis Recklinghausen, Nordrhein-Westfalen, 46286, Deutschland"
19899,"Lette (Kr Coesfeld), Am Haus Lette, Lette, Coesfeld, Kreis Coesfeld, Nordrhein-Westfalen, 48653, Deutschland"
19900,"Limbach, Hachenburg, Westerwaldkreis, Rheinland-Pfalz, Deutschland"
19902,"Scheidegg, Landkreis Lindau, Bayern, 88175, Deutschland"
19904,"Bawinkel, Samtgemeinde Lengerich, Landkreis Emsland, Niedersachsen, 49844, Deutschland"
19908,"Haus 03 Westfälisches Pflege und Förderzentrum (WPFZ) Lippstadt Benninghausen, Dorfstraße, Benninghausen, Lippstadt, Kreis Soest, Nordrhein-Westfalen, 59556, Deutschland"
19909,"Ebersbach-Neugersdorf, Görlitz, Sachsen, Deutschland"
19913,"Steinfeld, Süderbrarup, Schleswig-Flensburg, Schleswig-Holstein, 24888, Deutschland"
19917,
19919,"Preußisch Oldendorf, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32361, Deutschland"
19920,"Stockelsdorf, Ostholstein, Schleswig-Holstein, 23617, Deutschland"
19924,
19931,"Magstadt, Landkreis Böblingen, Baden-Württemberg, 71106, Deutschland"
19939,"Marienfeld, Much, Rhein-Sieg-Kreis, Nordrhein-Westfalen, 53804, Deutschland"
19942,"Marsberg, An den Gleisen, Niedermarsberg, Marsberg, Hochsauerlandkreis, Nordrhein-Westfalen, 34431, Deutschland"
19943,"Medebach, Hochsauerlandkreis, Nordrhein-Westfalen, 59964, Deutschland"
19946,"Meßkirch, Verwaltungsgemeinschaft Meßkirch, Landkreis Sigmaringen, Baden-Württemberg, Deutschland"
19947,"Krauchenwies, Gemeindeverwaltungsverband Sigmaringen, Landkreis Sigmaringen, Baden-Württemberg, 72505, Deutschland"
19948,"Bad Urach, Gemeindeverwaltungsverband Bad Urach, Landkreis Reutlingen, Baden-Württemberg, 72574, Deutschland"
19950,
19957,"Olbernhau, Erzgebirgskreis, Sachsen, 09526, Deutschland"
19958,"Erlau, Mittelsachsen, Sachsen, Deutschland"
19959,"Hainichen, Mittelsachsen, Sachsen, 09661, Deutschland"
19961,"Ober-Ramstadt, Landkreis Darmstadt-Dieburg, Hessen, 64372, Deutschland"
19963,
19966,
19967,
19970,
19971,"Auggen, GVV Müllheim-Badenweiler, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79424, Deutschland"
19972,"Badenweiler, GVV Müllheim-Badenweiler, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79410, Deutschland"
19974,"Neuenbürg, Verwaltungsgemeinschaft Neuenbürg, Enzkreis, Baden-Württemberg, 75305, Deutschland"
19975,"Hayingen, Gemeindeverwaltungsverband Zwiefalten-Hayingen, Landkreis Reutlingen, Baden-Württemberg, 72534, Deutschland"
19976,
19977,"Hiltrup, Münster-Hiltrup, Münster, Nordrhein-Westfalen, 48165, Deutschland"
19980,"Nagoldstraße, Sindelfingen (Stadt), Sindelfingen, Landkreis Böblingen, Baden-Württemberg, 71065, Deutschland"
19981,"Nohfelden, Landkreis St. Wendel, Saarland, 66625, Deutschland"
19982,"Eberbach, Verwaltungsgemeinschaft Eberbach, Rhein-Neckar-Kreis, Baden-Württemberg, Deutschland"
19983,"Meckesheim, Verwaltungsverband Elsenztal, Rhein-Neckar-Kreis, Baden-Württemberg, 74909, Deutschland"
19984,
19985,"Elchingen, Landkreis Neu-Ulm, Bayern, 89275, Deutschland"
19988,"Uelsen, Samtgemeinde Uelsen, Landkreis Grafschaft Bentheim, Niedersachsen, 49843, Deutschland"
19990,"Alpen, Kreis Wesel, Nordrhein-Westfalen, 46519, Deutschland"
19992,"Prof.-Albert-Boerger-Straße, Grevenbrück, Theten, Lennestadt, Kreis Olpe, Nordrhein-Westfalen, 57368, Deutschland"
19994,"Extertal, Kreis Lippe, Nordrhein-Westfalen, 32699, Deutschland"
19998,"Altensteig, Verwaltungsgemeinschaft Altensteig, Landkreis Calw, Baden-Württemberg, 72213, Deutschland"
19999,"Pfalzgrafenweiler, Verwaltungsgemeinschaft Pfalzgrafenweiler, Landkreis Freudenstadt, Baden-Württemberg, 72285, Deutschland"
20001,"Nottuln, Kreis Coesfeld, Nordrhein-Westfalen, 48301, Deutschland"
20005,"Bad Bentheim, Landkreis Grafschaft Bentheim, Niedersachsen, 48455, Deutschland"
20006,
20009,"Ennigerloh, Kreis Warendorf, Nordrhein-Westfalen, 59320, Deutschland"
20011,"Appenweier, Ortenaukreis, Baden-Württemberg, 77767, Deutschland"
20012,"Edewecht, Landkreis Ammerland, Niedersachsen, 26188, Deutschland"
20016,"Wenden, Kreis Olpe, Nordrhein-Westfalen, 57482, Deutschland"
20017,"Glansdorf, Rhauderfehn, Landkreis Leer, Niedersachsen, Deutschland"
20018,"Alfhausen, Samtgemeinde Bersenbrück, Landkreis Osnabrück, Niedersachsen, 49594, Deutschland"
20021,
20022,"Osterburg, Osterburg (Altmark), Stendal, Sachsen-Anhalt, 39606, Deutschland"
20025,"Burg auf Fehmarn, Fehmarn, Ostholstein, Schleswig-Holstein, 23769, Deutschland"
20027,"Oyten, Landkreis Verden, Niedersachsen, 28876, Deutschland"
20029,"Ilsede, Landkreis Peine, Niedersachsen, Deutschland"
20041,"Raesfeld, Kreis Borken, Nordrhein-Westfalen, 46348, Deutschland"
20042,"Inning, GP Inning/Wörthsee, Billerberg, Gewerbepark Inning/Wörthsee, Inning am Ammersee, Wörthsee, Landkreis Starnberg, Bayern, 82266, Deutschland"
20048,"Pfaffenhofen an der Ilm, Landkreis Pfaffenhofen an der Ilm, Bayern, 85276, Deutschland"
20056,"Edenkoben, Landkreis Südliche Weinstraße, Rheinland-Pfalz, 67480, Deutschland"
20065,"Görlitz, Sachsen, Deutschland"
20069,
20072,"Bad Neustadt an der Saale, Landkreis Rhön-Grabfeld, Bayern, Deutschland"
20076,"Weßling, Landkreis Starnberg, Bayern, 82234, Deutschland"
20084,"Nittendorf, Landkreis Regensburg, Bayern, 93152, Deutschland"
20087,"Rutesheim, Landkreis Böblingen, Baden-Württemberg, 71277, Deutschland"
20088,"Eslohe, Hochsauerlandkreis, Nordrhein-Westfalen, 59889, Deutschland"
20090,"Remseck am Neckar, Landkreis Ludwigsburg, Baden-Württemberg, 71686, Deutschland"
20091,"Pliezhausen, Gemeindeverwaltungsverband Pliezhausen, Landkreis Reutlingen, Baden-Württemberg, 72124, Deutschland"
20097,
20100,"Voerde (Niederrhein), Kreis Wesel, Nordrhein-Westfalen, 46562, Deutschland"
20104,"Emmelshausen, Hunsrück-Mittelrhein, Rhein-Hunsrück-Kreis, Rheinland-Pfalz, 56281, Deutschland"
20117,"St. Leon-Rot, Rhein-Neckar-Kreis, Baden-Württemberg, 68789, Deutschland"
20124,"Kreissparkasse Saarlouis, 40, Lebacher Straße, Fraulautern, Saarlouis, Landkreis Saarlouis, Saarland, 66740, Deutschland"
20125,"Bexbach, Saarpfalz-Kreis, Saarland, 66450, Deutschland"
20126,
20127,"Saerbeck, Kreis Steinfurt, Nordrhein-Westfalen, 48369, Deutschland"
20129,"Mannheim-Sandhofen, A 6, Sandhofen, Mannheim, Baden-Württemberg, 68307, Deutschland"
20134,"Gahlen, Schermbeck, Kreis Wesel, Nordrhein-Westfalen, 46514, Deutschland"
20135,"Schermbeck, Kreis Wesel, Nordrhein-Westfalen, 46514, Deutschland"
20136,"Schlangen, Kreis Lippe, Nordrhein-Westfalen, 33189, Deutschland"
20137,
20138,
20139,
20142,"Schwaneweder Straße, Lüssum-Bockhorn, Blumenthal, Stadtbezirk Bremen-Nord, Bremen, Landkreis Osterholz, Bremen, 28779, Deutschland"
20145,"Hainburg, Landkreis Offenbach, Hessen, 63512, Deutschland"
20148,"Selm, Kreis Unna, Nordrhein-Westfalen, 59379, Deutschland"
20149,"Ottmarsbocholt, Senden, Kreis Coesfeld, Nordrhein-Westfalen, Deutschland"
20153,"Sinzig (Rhein), Eisenbahnstraße, Sinzig, Landkreis Ahrweiler, Rheinland-Pfalz, 53489, Deutschland"
20154,"Hardegsen, Landkreis Northeim, Niedersachsen, 37181, Deutschland"
20155,"Uslar, Landkreis Northeim, Niedersachsen, 37170, Deutschland"
20156,
20165,
20166,"Steißlingen, Verwaltungsgemeinschaft Singen (Hohentwiel), Landkreis Konstanz, Baden-Württemberg, 78256, Deutschland"
20169,
20177,
